sido_code,sido_nm,sigun_code,sigun_nm,전기사용량(TOE),가스사용량(TOE),지역난방(TOE)
11,서울특별시,11010,종로구,125179,117061,0
11,서울특별시,11020,중구,159236,125619,10
11,서울특별시,11030,용산구,97661,108624,12330
11,서울특별시,11040,성동구,121082,122439,44
11,서울특별시,11050,광진구,101388,148425,0
11,서울특별시,11060,동대문구,101233,136709,0
11,서울특별시,11070,중랑구,85057,127717,8711
11,서울특별시,11080,성북구,112425,172327,0
11,서울특별시,11090,강북구,71168,113504,0
11,서울특별시,11100,도봉구,69253,104214,8405
11,서울특별시,11110,노원구,119214,114605,53944
11,서울특별시,11120,은평구,111247,157336,16404
11,서울특별시,11130,서대문구,93319,129423,7857
11,서울특별시,11140,마포구,168020,149218,41874
11,서울특별시,11150,양천구,124853,98845,57371
11,서울특별시,11160,강서구,178663,167615,68147
11,서울특별시,11170,구로구,145825,154298,5625
11,서울특별시,11180,금천구,114252,95608,746
11,서울특별시,11190,영등포구,198560,176138,18466
11,서울특별시,11200,동작구,98242,152938,32
11,서울특별시,11210,관악구,136043,196643,78
11,서울특별시,11220,서초구,242700,181974,39854
11,서울특별시,11230,강남구,364645,236446,95742
11,서울특별시,11240,송파구,236444,185492,94175
11,서울특별시,11250,강동구,110313,144513,16676
21,부산광역시,21010,중구,26612,13559,0
21,부산광역시,21020,서구,29753,27012,0
21,부산광역시,21030,동구,31554,22650,0
21,부산광역시,21040,영도구,29373,26613,0
21,부산광역시,21050,부산진구,129343,99051,0
21,부산광역시,21060,동래구,70702,71290,0
21,부산광역시,21070,남구,82262,70179,30
21,부산광역시,21080,북구,69107,78096,0
21,부산광역시,21090,해운대구,131130,109199,14908
21,부산광역시,21100,사하구,82967,80836,0
21,부산광역시,21110,금정구,78134,65290,0
21,부산광역시,21120,강서구,61384,23550,0
21,부산광역시,21130,연제구,59543,56525,0
21,부산광역시,21140,수영구,48647,51585,0
21,부산광역시,21150,사상구,60349,54329,0
21,부산광역시,21310,기장군,52565,29110,14672
22,대구광역시,22010,중구,51719,32164,0
22,대구광역시,22020,동구,105648,105080,5241
22,대구광역시,22030,서구,57331,48260,2184
22,대구광역시,22040,남구,43930,52922,0
22,대구광역시,22050,북구,128622,141940,0
22,대구광역시,22060,수성구,126174,148186,0
22,대구광역시,22070,달서구,165373,116774,63735
22,대구광역시,22310,달성군,81568,56794,13075
23,인천광역시,23010,중구,114017,45281,5518
23,인천광역시,23020,동구,21590,20610,0
23,인천광역시,23030,미추홀구,104350,143780,5536
23,인천광역시,23040,연수구,159478,76234,78284
23,인천광역시,23050,남동구,150711,152902,35344
23,인천광역시,23060,부평구,125658,135111,36597
23,인천광역시,23070,계양구,73046,84730,15662
23,인천광역시,23080,서구,172941,159376,37467
23,인천광역시,23310,강화군,28097,10092,0
23,인천광역시,23320,옹진군,8350,0,0
24,광주광역시,24010,동구,44611,42271,0
24,광주광역시,24020,서구,98744,104977,1551
24,광주광역시,24030,남구,55600,68747,0
24,광주광역시,24040,북구,131814,140246,4513
24,광주광역시,24050,광산구,123035,108835,23684
25,대전광역시,25010,동구,67617,66597,0
25,대전광역시,25020,중구,75249,77600,0
25,대전광역시,25030,서구,148917,139294,24837
25,대전광역시,25040,유성구,214247,135175,30760
25,대전광역시,25050,대덕구,72995,51415,3890
26,울산광역시,26010,중구,54752,70191,0
