SIG_CD,SIG_ENG_NM,SIG_KOR_NM,전기사용량(TOE),가스사용량(TOE),지역난방(TOE)
11110,Jongno-gu,종로구,125179,117061,0
11140,Jung-gu,중구,159236,125619,10
11170,Yongsan-gu,용산구,97661,108624,12330
11200,Seongdong-gu,성동구,121082,122439,44
11215,Gwangjin-gu,광진구,101388,148425,0
11230,Dongdaemun-gu,동대문구,101233,136709,0
11260,Jungnang-gu,중랑구,85057,127717,8711
11290,Seongbuk-gu,성북구,112425,172327,0
11305,Gangbuk-gu,강북구,71168,113504,0
11320,Dobong-gu,도봉구,69253,104214,8405
11350,Nowon-gu,노원구,119214,114605,53944
11380,Eunpyeong-gu,은평구,111247,157336,16404
11410,Seodaemun-gu,서대문구,93319,129423,7857
11440,Mapo-gu,마포구,168020,149218,41874
11470,Yangcheon-gu,양천구,124853,98845,57371
11500,Gangseo-gu,강서구,178663,167615,68147
11530,Guro-gu,구로구,145825,154298,5625
11545,Geumcheon-gu,금천구,114252,95608,746
11560,Yeongdeungpo-gu,영등포구,198560,176138,18466
11590,Dongjak-gu,동작구,98242,152938,32
11620,Gwanak-gu,관악구,136043,196643,78
11650,Seocho-gu,서초구,242700,181974,39854
11680,Gangnam-gu,강남구,364645,236446,95742
11710,Songpa-gu,송파구,236444,185492,94175
11740,Gangdong-gu,강동구,110313,144513,16676
26110,Jung-gu,중구,26612,13559,0
26140,Seo-gu,서구,29753,27012,0
26170,Dong-gu,동구,31554,22650,0
26200,Yeongdo-gu,영도구,29373,26613,0
26230,Busanjin-gu,부산진구,129343,99051,0
26260,Dongnae-gu,동래구,70702,71290,0
26290,Nam-gu,남구,82262,70179,30
26320,Buk-gu,북구,69107,78096,0
26350,Haeundae-gu,해운대구,131130,109199,14908
26380,Saha-gu,사하구,82967,80836,0
26410,Geumjeong-gu,금정구,78134,65290,0
26440,Gangseo-gu,강서구,61384,23550,0
26470,Yeonje-gu,연제구,59543,56525,0
26500,Suyeong-gu,수영구,48647,51585,0
26530,Sasang-gu,사상구,60349,54329,0
26710,Gijang-gun,기장군,52565,29110,14672
27110,Jung-gu,중구,51719,32164,0
27140,Dong-gu,동구,105648,105080,5241
27170,Seo-gu,서구,57331,48260,2184
27200,Nam-gu,남구,43930,52922,0
27230,Buk-gu,북구,128622,141940,0
27260,Suseong-gu,수성구,126174,148186,0
27290,Dalseo-gu,달서구,165373,116774,63735
27710,Dalseong-gun,달성군,81568,56794,13075
28110,Jung-gu,중구,114017,45281,5518
28140,Dong-gu,동구,21590,20610,0
28177,Michuhol-gu,미추홀구,104350,143780,5536
28185,Yeonsu-gu,연수구,159478,76234,78284
28200,Namdong-gu,남동구,150711,152902,35344
28237,Bupyeong-gu,부평구,125658,135111,36597
28245,Gyeyang-gu,계양구,73046,84730,15662
28260,Seo-gu,서구,172941,159376,37467
28710,Ganghwa-gun,강화군,28097,10092,0
28720,Ongjin-gun,옹진군,8350,0,0
29110,Dong-gu,동구,44611,42271,0
29140,Seo-gu,서구,98744,104977,1551
29155,Nam-gu,남구,55600,68747,0
29170,Buk-gu,북구,131814,140246,4513
29200,Gwangsan-gu,광산구,123035,108835,23684
30110,Dong-gu,동구,67617,66597,0
30140,Jung-gu,중구,75249,77600,0
30170,Seo-gu,서구,148917,139294,24837
30200,Yuseong-gu,유성구,214247,135175,30760
30230,Daedeok-gu,대덕구,72995,51415,3890
31110,Jung-gu,중구,54752,70191,0
31140,Nam-gu,남구,182405,115293,0
31170,Dong-gu,동구,38678,51775,0
31200,Buk-gu,북구,50818,65202,0
31710,Ulju-gun,울주군,91629,65291,0
36110,Sejong-si,세종특별자치시,110499,39564,70150
41111,"Jangan-gu, Suwon-si",수원시 장안구,72670,70120,27888
41113,"Gwonseon-gu, Suwon-si",수원시 권선구,92253,92580,35482
41115,"Paldal-gu, Suwon-si",수원시 팔달구,75777,73404,9699
41117,"Yeongtong-gu, Suwon-si",수원시 영통구,177241,72397,83429
