Id,사진,이름,준공년도,리모델링년도,빌딩타입,위치,면적,지상층수,지하층수,전_에너지소비량,후_에너지소비량,에너지저감율,전_벽열관류율,후_벽열관류율,벽열관류율_향상율,전_바닥열관류율,후_바닥열관류율,바닥열관류율_향상율,전_지붕열관류율,후_지붕열관류율,지붕열관류율_향상율,전_창문열관류율,후_창문열관류율,창문열관류율_향상율,전_기밀성,후_기밀성,기밀성_향상율,전_일사차폐계수,후_일사차폐계수,일사차폐계수_향상율,전_이산화탄소배출량,후_이산화탄소배출량,이산화탄소배출량_향상율
1,,충북 보은군 장애인회관,2002,2015.619048,8,4,1565,4,0,144089,129680.1,0.104,0.595,0.26,0.56302521,2.77,0.58,0.790613718,4.195,0.15,0.964243147,0.595,0.42,0.294117647,37.58,5,0.866950506,0.44,0.565,-0.284090909,61094,54984,0.100009821
2,,경북 성주군청사,1995,2015.619048,11,11,9179.64,6,1,3531408,828921.4,0.765271699,0.581,0.32,0.449225473,3.289,0.31,0.905746427,0.18,0.18,0,4,1.623,0.59425,37.58,0.19,0.994944119,2.61,0.595,0.772030651,1497317,351463,0.765271482
3,,강원 양구군청사,1984,2015.619048,11,16,3533,3,0,369375.15,303256.9982,0.179,0.9,0.239,0.734444444,2.634,2.634,0,0.679,0.126,0.81443299,2.8,1.5,0.464285714,10.48,5,0.522900763,0.563,0.474,0.158081705,290461,140029,0.51790774
4,,전남 영암군 군서면사무소,1991,2015.619048,11,9,762.9,2,0,112222.59,60192.81,0.463630184,0.463,0.208,0.55075594,1.312,0.35,0.733231707,1.868,0.172,0.907922912,4,1.811,0.54725,37.58,5,0.866950506,2.61,0.595,0.772030651,47583,25522,0.463631969
5,,전남 영암군 미암면사무소,1988,2015.619048,11,9,566,2,0,111935.763,66524.88,0.405686992,0.462,0.208,0.54978355,1.312,0.35,0.733231707,2.033,0.185,0.909001476,4,1.811,0.54725,37.58,5,0.866950506,2.61,0.595,0.772030651,47461,28207,0.405680453
6,,한국 폴리텍대학 창원캠퍼스,1981,2015.619048,7,12,3104,2,1,1545461.992,404859.06,0.738033635,1.045,0.278,0.733971292,1.312,0.35,0.733231707,2.033,0.185,0.909001476,3.6,1.3,0.638888889,37.58,5,0.866950506,2.61,0.595,0.772030651,655276,171660,0.73803405
7,,대전광역시청사,1999,2015.619048,11,13,87742,21,2,7338384,5723939.52,0.22,3.7,1.8,0.513513514,0.365,0.25,0.315068493,0.611,0.18,0.705400982,2.9,0.42,0.855172414,37.58,5,0.866950506,0.42,0.42,0,3111475,2426951,0.219999839
8,,세종시청 조치원청사 C동,1988,2015.619048,11,7,1647,3,0.979591837,221359,174342.3484,0.2124,0.619,0.309,0.500807754,0.639,0.639,0,0.706,0.145,0.794617564,5.3,1.8,0.660377358,37.58,5,0.866950506,0.82,0.56,0.317073171,93856,73921,0.212399847
9,,헌법재판소,1993,2015.619048,11,1,19270,5,1,6925156.25,2216050,0.68,0.643,0.26,0.595645412,1.312,0.29,0.778963415,1.037,0.15,0.855351977,4,1.5,0.625,13.72,5,0.635568513,2.61,0.595,0.772030651,939605,32224373,0.329
10,,부산연제경찰서,1991,2015.619048,11,14,7357,4,1,595200,364857.6,0.387,2.68,0.32,0.880597015,1.312,0.35,0.733231707,1.037,0.18,0.826422372,3.596,1.8,0.499443826,25.81,5,0.806276637,2.61,0.595,0.772030651,252365,154700,0.38699899
