explain_path,photo_path,name,con_yr,re_yr,bldg_type,bldg_loc,Area,gr_floor,under_floor,re_cost,energy_reduction,co2_reduction
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_1.png,img/rec_fig/1.png,충북 보은군 장애인회관,2002.00,2015.62,8.00,4.00,1565.00,4.00,0.00,176526140.00,0.10,0.10
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_2.png,img/rec_fig/2.png,경북 성주군청사,1995.00,2015.62,11.00,11.00,9179.64,6.00,1.00,2360000000.00,0.77,0.77
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_3.png,img/rec_fig/3.png,강원 양구군청사,1984.00,2015.62,11.00,16.00,3533.00,3.00,0.00,253417752.00,0.18,0.52
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_4.png,img/rec_fig/4.png,전남 영암군 군서면사무소,1991.00,2015.62,11.00,9.00,762.90,2.00,0.00,28800000.00,0.46,0.46
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_5.png,img/rec_fig/5.png,전남 영암군 미암면사무소,1988.00,2015.62,11.00,9.00,566.00,2.00,0.00,220000000.00,0.41,0.41
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_6.png,img/rec_fig/6.png,한국 폴리텍대학 창원캠퍼스,1981.00,2015.62,7.00,12.00,3104.00,2.00,1.00,990000000.00,0.74,0.74
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_7.png,img/rec_fig/7.png,대전광역시청사,1999.00,2015.62,11.00,13.00,87742.00,21.00,2.00,2759000000.00,0.22,0.22
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_8.png,img/rec_fig/8.png,세종시청 조치원청사 C동,1988.00,2015.62,11.00,7.00,1647.00,3.00,1.00,302359500.00,0.21,0.21
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_9.png,img/rec_fig/9.png,헌법재판소,1993.00,2015.62,11.00,1.00,19270.00,5.00,1.00,11027000000.00,0.68,0.33
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_10.png,img/rec_fig/10.png,부산연제경찰서,1991.00,2015.62,11.00,14.00,7357.00,4.00,1.00,1601000000.00,0.39,0.39
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_11.png,img/rec_fig/11.png,제주도 서귀포시 평생학습관,1998.00,2015.62,11.00,17.00,1016.00,2.00,1.00,549000000.00,0.28,0.28
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_12.png,img/rec_fig/12.png,강릉 장애인직업재활시설 사랑의 일터,2003.00,2015.62,8.00,16.00,630.00,2.00,1.00,487000000.00,0.38,0.38
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_13.png,img/rec_fig/13.png,정보통신기술진흥센터 청사,1995.00,2015.62,11.00,6.00,19354.00,6.00,1.00,3288000000.00,0.60,0.60
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_14.png,img/rec_fig/14.png,전남 보성군 복내면사무소,1989.00,2015.62,11.00,10.00,495.00,2.00,1.00,586000000.00,0.62,0.62
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_15.png,img/rec_fig/15.png,경기도 부천시 춘의동사무소,1985.00,2015.62,11.00,2.00,731.00,3.00,1.00,321000000.00,0.59,0.59
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_16.png,img/rec_fig/16.png,한국연구재단 대전청사 본관,1990.00,2015.62,11.00,6.00,5443.00,4.00,1.00,3954000000.00,0.50,0.50
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_17.png,img/rec_fig/17.png,한국교통대학교 화학생명관,1985.00,2015.62,7.00,4.00,7367.00,4.00,1.00,2947000000.00,0.74,0.74
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_18.png,img/rec_fig/18.png,강릉 입암3아파트 사회복지관,1994.00,2015.62,11.00,16.00,1615.01,2.00,1.00,409000000.00,0.39,0.39
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_19.png,img/rec_fig/19.png,경기도 시흥시 ABC 행복학습타운,1988.00,2015.62,7.00,2.00,17784.00,3.00,1.00,1303000000.00,0.56,0.56
