Unnamed: 0,explain_path,photo_path,name,loc,BT,Area,ER,UWaB,UWaA,UFB,UFA,URB,URA,UWiB,UWiA,ATB,ATA,SCB,SCA
0,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_1.png,img/rec_fig/1.png,충북 보은군 장애인회관,4.00,8.00,1565.00,0.10,0.59,0.26,2.77,0.58,4.20,0.15,0.59,0.42,37.58,5.00,0.44,0.56
1,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_2.png,img/rec_fig/2.png,경북 성주군청사,11.00,11.00,9179.64,0.77,0.58,0.32,3.29,0.31,0.18,0.18,4.00,1.62,37.58,0.19,2.61,0.59
2,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_3.png,img/rec_fig/3.png,강원 양구군청사,16.00,11.00,3533.00,0.18,0.90,0.24,2.63,2.63,0.68,0.13,2.80,1.50,10.48,5.00,0.56,0.47
3,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_4.png,img/rec_fig/4.png,전남 영암군 군서면사무소,9.00,11.00,762.90,0.46,0.46,0.21,1.31,0.35,1.87,0.17,4.00,1.81,37.58,5.00,2.61,0.59
4,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_5.png,img/rec_fig/5.png,전남 영암군 미암면사무소,9.00,11.00,566.00,0.41,0.46,0.21,1.31,0.35,2.03,0.18,4.00,1.81,37.58,5.00,2.61,0.59
5,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_6.png,img/rec_fig/6.png,한국 폴리텍대학 창원캠퍼스,12.00,7.00,3104.00,0.74,1.04,0.28,1.31,0.35,2.03,0.18,3.60,1.30,37.58,5.00,2.61,0.59
6,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_7.png,img/rec_fig/7.png,대전광역시청사,13.00,11.00,87742.00,0.22,3.70,1.80,0.36,0.25,0.61,0.18,2.90,0.42,37.58,5.00,0.42,0.42
7,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_8.png,img/rec_fig/8.png,세종시청 조치원청사 C동,7.00,11.00,1647.00,0.21,0.62,0.31,0.64,0.64,0.71,0.14,5.30,1.80,37.58,5.00,0.82,0.56
8,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_9.png,img/rec_fig/9.png,헌법재판소,1.00,11.00,19270.00,0.68,0.64,0.26,1.31,0.29,1.04,0.15,4.00,1.50,13.72,5.00,2.61,0.59
9,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_10.png,img/rec_fig/10.png,부산연제경찰서,14.00,11.00,7357.00,0.39,2.68,0.32,1.31,0.35,1.04,0.18,3.60,1.80,25.81,5.00,2.61,0.59
