build_id,build_nm,photo_path,explain_path,design,build_type,kor_flag,iso_flag,koppen,gfa,structure,re_year,re_cost,wall,roof,window,windowframe,airtight,windowcontrol,awning,n_ventilation,n_lighting,heating,cooling,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,windpower,bio,fuelcell,cogeneration,ess,re_before_energy,re_after_energy,re_energy,re_before_emission,re_after_emission,re_emission,re_before_lcc,re_after_lcc,re_life_cycle_cost
1,충북 보은군 장애인회관,/tcase/01.png,/explain/explain 01.jpg,1,8,,410,af,1565,1,2014,176526140,107,,,,,,0,,,,,606,"703, 702",,,,,,,,,,144089 ,129680 ,0.10 ,61094 ,54984 ,0.10 ,61094 ,54984 ,0.10 
2,경북 성주군청사,/tcase/02.png,/explain/explain 02.jpg,1,11,,410,am,9180,2,2005,2360000000,"107, 108",,,403,551,,403,,,551,,,708,,,,,,,,,,3531408 ,828921 ,0.77 ,1497317 ,351463 ,0.77 ,1497317 ,351463 ,0.77 
3,강원 양구군청사,/tcase/03.png,/explain/explain 03.jpg,1,11,,410,aw,3533,3,2017,253417752,"107, 103",,,,,,,,,,,,,,801,,,,,,,,369375 ,303257 ,0.18 ,290461 ,140029 ,0.52 ,290461 ,140029 ,0.18 
4,전남 영암군 군서면사무소,/tcase/04.png,/explain/explain 04.jpg,1,11,,410,af,763,4,2013,28800000,107,,210,,,,,,,,,606,,,,,,,,,,,112223 ,60193 ,0.46 ,47583 ,25522 ,0.46 ,47583 ,25522 ,0.46 
5,전남 영암군 미암면사무소,/tcase/05.png,/explain/explain 05.jpg,1,11,,410,am,566,5,2005,220000000,107,,210,,,,,,,,,606,,,,,,,,,,,111936 ,66525 ,0.41 ,47461 ,28207 ,0.41 ,47461 ,28207 ,0.41 
6,한국 폴리텍대학 창원캠퍼스,/tcase/06.png,/explain/explain 06.jpg,2,7,,410,aw,3104,1,2019,990000000,107,,,403,,,403,,,,,606,,,,,,,,,,,1545462 ,404859 ,0.74 ,655276 ,171660 ,0.74 ,655276 ,171660 ,0.74 
7,대전광역시청사,/tcase/07.png,/explain/explain 07.jpg,2,11,,410,am,87742,3,2013,2759000000,,,,406,,,406,,,,,606,,753,,,,,,,,,7338384 ,5723940 ,0.22 ,3111475 ,2426951 ,0.22 ,87201 ,74120 ,0.15 
8,세종시청 조치원청사 C동,/tcase/08.png,/explain/explain 08.jpg,2,11,,410,aw,1647,4,2012,302359500,103,,,,,,,,,,,,702,754,,,,,,,,,221359 ,174342 ,0.21 ,93856 ,73921 ,0.21 ,3111475 ,2426951 ,0.22 
9,헌법재판소,/tcase/09.png,/explain/explain 09.jpg,1,11,,410,af,19270,5,2011,11027000000,107,,210,,,,,,,,,,702,,,,,,,,,,6925156 ,2216050 ,0.68 ,939605 ,300673 ,0.68 ,93856 ,73921 ,0.21 
10,부산연제경찰서,/tcase/10.png,/explain/explain 10.jpg,1,11,,410,cfa,7357,1,,1601000000,"107, 102",,210,,,,,,,,,606,,752,,852,,,,,,,595200 ,364858 ,0.39 ,252365 ,154700 ,0.39 ,939605 ,32224373 ,0.68 
11,제주도 서귀포시 평생학습관,/tcase/11.png,/explain/explain 11.jpg,1,11,,410,cfa,1016,1,,549000000,"107, 102",,210,,,,,,,,,606,702,,801,,,,,,,,720000 ,519120 ,0.28 ,305280 ,220107 ,0.28 ,939605 ,32224373 ,0.68 
12,강릉 장애인직업재활시설 사랑의 일터,/tcase/12.png,/explain/explain 12.jpg,1,8,,410,cfa,630,1,,487000000,"107, 102",,210,403,,,403,,,,,606,702,,,,,,,,,,108000 ,66528 ,0.38 ,45792 ,28208 ,0.38 ,939605 ,32224373 ,0.68 
13,정보통신기술진흥센터 청사,/tcase/13.png,/explain/explain 13.jpg,1,11,,410,dwa,19354,1,,3288000000,107,,,403,,,403,,,,,,,,,,,,,1051,,,9551451 ,3836064 ,0.60 ,4049815 ,1626491 ,0.60 ,939605 ,32224373 ,0.68 
14,전남 보성군 복내면사무소,/tcase/14.png,/explain/explain 14.jpg,1,11,,410,cwa,495,1,,586000000,107,,,,,,,,,,,606,,,801,,,,,,,,222723 ,83571 ,0.62 ,94435 ,35434 ,0.62 ,939605 ,32224373 ,0.68 
15,경기도 부천시 춘의동사무소,/tcase/15.png,/explain/explain 15.jpg,1,11,,410,dwa,731,1,,321000000,107,,210,,556,,,,,556,,,,752,801,,,,,,,,316337 ,128903 ,0.59 ,134127 ,54655 ,0.59 ,939605 ,32224373 ,0.68 
16,한국연구재단 대전청사 본관,/tcase/16.png,/explain/explain 16.jpg,1,11,,410,dwa,5443,1,,3954000000,,,,403,,,403,,,,,604,,,,,,,,,,,20792681 ,10446243 ,0.50 ,8816097 ,4429207 ,0.50 ,939605 ,32224373 ,0.68 
17,한국교통대학교 화학생명관,/tcase/17.png,/explain/explain 17.jpg,1,7,,410,dwa,7367,1,,2947000000,107,,210,,,,,,,,,606,702,"752, 753","802, 805",,,,,,,,2956377 ,770588 ,0.74 ,1253504 ,326729 ,0.74 ,939605 ,32224373 ,0.68 
18,강릉 입암3아파트 사회복지관,/tcase/18.png,/explain/explain 18.jpg,1,11,,410,cfa,1615,1,,409000000,"107, 102",,210,,,,,,,,,606,702,,,852,,,,,,,132000 ,80784 ,0.39 ,55968 ,34252 ,0.39 ,939605 ,32224373 ,0.68 
19,경기도 시흥시 ABC 행복학습타운,/tcase/19.png,/explain/explain 19.jpg,1,7,,410,dwa,17784,1,,1303000000,107,,210,,,,,,,,,606,702,752,,,,,,,,,7698694 ,3375403 ,0.56 ,3264246 ,1431171 ,0.56 ,939605 ,32224373 ,0.68 
20,대구 달서구청,/tcase/20.png,/explain/explain 20.jpg,1,11,,410,cwa,17898,1,,2720000000,"107, 102",,210,,,,,,,,,606,702,,801,,,,,,,,1260984 ,923040 ,0.27 ,534657 ,391369 ,0.27 ,939605 ,32224373 ,0.68 
21,충청북도 자치연수원 공무원교육관,/tcase/21.png,/explain/explain 21.jpg,1,11,,410,dwa,9591,1,,2168000000,107,,210,,,,,,,,,,,"754, 752",804,,,,,,,,4135639 ,1331231 ,0.68 ,1753511 ,564442 ,0.68 ,939605 ,32224373 ,0.68 
22,충주 성내동우체국,/tcase/22.png,/explain/explain 22.jpg,1,11,,410,dwa,2863,1,,1927000000,107,,210,,556,,,,,556,,606,702,752,801,,,,,,,,596569 ,173005 ,0.71 ,252945 ,73354 ,0.71 ,939605 ,32224373 ,0.68 
23,구) 남원역사,/tcase/23.png,/explain/explain 23.jpg,1,11,,410,dfa,761,1,,440000000,107,,,,,,,,,,,,,,,,,,,,,,319729 ,133327 ,0.58 ,135565 ,56531 ,0.58 ,939605 ,32224373 ,0.68 
24,전남 광양시 의회청사,/tcase/24.png,/explain/explain 24.jpg,1,11,,410,cfa,6895,1,,1396000000,"107, 109",,210,403,556,,403,,,556,,606,702,,,,,,,,,,3279952 ,1028734 ,0.69 ,1390700 ,436183 ,0.69 ,939605 ,32224373 ,0.68 
25,충북 음성군청 본청사,/tcase/25.png,/explain/explain 25.jpg,1,11,,410,dwa,8684,1,,4319000000,"107, 102",,210,,556,,,,,556,,602,,752,804,,,,,1051,,,3126240 ,1240944 ,0.60 ,1325526 ,526160 ,0.60 ,939605 ,32224373 ,0.68 
